Категория,Вендор,Продукт,Какого вендора заменяет,Какой продукт заменяем
,«Лаборатория Касперского»,Kaspersky Endpoint Security для бизнеса Стандартный,,"TrendMicro Apex One, Symantec Endpoint Protection, ESET Protect, Microsoft Defender, McAfee Endpoint Security"
,,Kaspersky Endpoint Security для бизнеса Расширенный,,
,,Kaspersky Total Security для бизнеса,,
,,Kaspersky Endpoint Detection and Response,,
,,Kaspersky Symphony Security,,
,,Kaspersky Security для виртуальных и облачных сред,,"Trend Micro Hybrid Cloud Security, McAfee MOVE AntiVirus, Eset Virtualization Security"
,,Kaspersky Industrial CyberSecurity for Nodes,,"Trend Micro Industrial Endpoint Security, McAfee Endpoint Security, Symantec Endpoint Protection"
,,Kaspersky Security для интернет-шлюзов,,"Checkpoint Secure Web Gateway, Fortinet FortiGate, Cisco WSA, ForcePoint Web Security - Websense, Kerio Control, TrendMicro Web Security, Symantec BlueCoat "
,,Kaspersky Security для почтовых серверов,,"Fortinet FortiMail, Cisco IronPort , Barracuda Email Security Gateway, TrendMicro Email Security"
,,Kaspersky Endpoint Security Cloud,,
,,Kaspersky Small Office Security,,
,,Kaspersky Unified Monitoring and Analysis Platform,,
,	Positive Technologies,	Positive Technologies,QRadar SIEM,QRadar SIEM
,UserGate,UserGate Межсетевой экран с сертификатом ФСТЭК,CheckPoint,CheckPoint межсетевой экран
,Digt,,,
,Gemalto (Thales),,,
,Infowatch,Infowatch,CheckPoint,CheckPoint межсетевой экран
,LissiSoft,,,
,Performix,Performix AdGuard Personal,,
,SearchInform,SearchInform,,
,Атом Безопасность,StaffCop Enterprise,,
,S-Terra,С-Терра Шлюз,,
,,С-Терра Клиент,,
,,С-Терра L2,,
,,С-Терра Виртуальный шлюз,,
,,С-Терра КП,,
,zecurion,Device Control (Zlock),,
,,Discovery (Zdiscovery),,
,,Storage Security (Zserver),,
,,Traffic Control (Zgate),,
,Актив,Рутокен VPN,,
,,Рутокен ЭЦП (Rutoken),,
,,Рутокен ЭЦП Flash (Rutoken),,
,,Рутокен S (Rutoken),,
,,Рутокен Lite (Rutoken),,
,,Актив Рутокен U2F,,
,Аладдин Р.Д.,JaCarta,,
,,Смарт-карт ридер JCR721,,
,,JaCarta SecurLogon,,
,,Secret Disk 5,,
,,Secret Disk Server NG,,
,АЛТЭКС-СОФТ,RedCheck,,
,,Check,,
,,Net_Check,,
,Газинформсервис,Газинформсервис,,
,Код безопасности,Код безопасности,,
,Крипто-Про,КриптоПро CSP,,
,,КриптоАРМ,,
,,Крипто-Про JCP,,
,НПО «Эшелон»,НПО «Эшелон»,,
,ООО «Оксиджен Софтвер»,Аналитический Центр Криминалист,,
,,Мобильный Криминалист,,
,,Мобильный Криминалист Enterprise,,
,,Мобильный Криминалист Десктоп,,
,,Мобильный Криминалист Детектив,,
,Рубинтех,Рубинтех,,
,Смарт-Cофт,Traffic Inspector Anti-Virus powered by Kaspersky,,
,,Traffic Inspector Anti-Spam powered by Kaspersky,,
,,Traffic Inspector GOLD,,
,,Adguard для Traffic Inspector,,
,Стахановец,Стахановец,,
,Центр безопасности информации (ЦБИ),ЦБИ TERRIER 3.0,,
,,ЦБИ Ревизор,,
,,ЦБИ Ревизор сети,,
,,ЦБИ Астра,,
,,ЦБИ Агент инвентаризации,,
